Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
370.00	25.000	1.0686	0.93579	28.904	31.244	111.54	84.389	110.55	222.96	1.1894	10.842	0.030343	vapor	vapor, P = 25 bar
375.00	25.000	1.0357	0.96557	29.379	31.793	113.01	84.946	109.26	227.60	1.1185	10.951	0.030891	vapor	vapor, P = 25 bar
380.00	25.000	1.0058	0.99420	29.851	32.337	114.45	85.560	108.35	231.95	1.0553	11.063	0.031470	vapor	vapor, P = 25 bar
385.00	25.000	0.97860	1.0219	30.322	32.877	115.87	86.218	107.74	236.07	0.99835	11.177	0.032073	vapor	vapor, P = 25 bar
390.00	25.000	0.95354	1.0487	30.793	33.415	117.25	86.909	107.35	239.98	0.94675	11.293	0.032698	vapor	vapor, P = 25 bar
395.00	25.000	0.93036	1.0749	31.264	33.951	118.62	87.628	107.14	243.71	0.89970	11.411	0.033342	vapor	vapor, P = 25 bar
400.00	25.000	0.90879	1.1004	31.735	34.486	119.97	88.369	107.07	247.29	0.85660	11.529	0.034002	vapor	vapor, P = 25 bar
405.00	25.000	0.88864	1.1253	32.208	35.022	121.30	89.129	107.12	250.72	0.81695	11.648	0.034677	vapor	vapor, P = 25 bar
410.00	25.000	0.86974	1.1498	32.683	35.558	122.61	89.904	107.27	254.03	0.78034	11.767	0.035365	vapor	vapor, P = 25 bar
415.00	25.000	0.85194	1.1738	33.160	36.095	123.91	90.692	107.50	257.22	0.74643	11.887	0.036065	vapor	vapor, P = 25 bar
420.00	25.000	0.83514	1.1974	33.639	36.633	125.20	91.491	107.80	260.31	0.71494	12.008	0.036777	vapor	vapor, P = 25 bar
425.00	25.000	0.81923	1.2207	34.121	37.173	126.48	92.299	108.16	263.31	0.68560	12.128	0.037501	vapor	vapor, P = 25 bar
430.00	25.000	0.80413	1.2436	34.605	37.714	127.75	93.114	108.57	266.22	0.65822	12.248	0.038234	vapor	vapor, P = 25 bar
435.00	25.000	0.78976	1.2662	35.093	38.258	129.01	93.935	109.02	269.05	0.63260	12.369	0.038978	vapor	vapor, P = 25 bar
440.00	25.000	0.77606	1.2886	35.583	38.805	130.25	94.760	109.51	271.81	0.60858	12.489	0.039731	vapor	vapor, P = 25 bar
445.00	25.000	0.76298	1.3106	36.077	39.354	131.49	95.590	110.03	274.51	0.58603	12.609	0.040493	vapor	vapor, P = 25 bar
