Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
370.00	15.000	8.1406	0.12284	26.167	26.351	103.50	116.84	177.27	508.67	0.034787	81.299	0.079261	liquid	liquid, P = 15 bar
372.27	15.000	8.0642	0.12401	26.571	26.757	104.59	117.47	179.51	493.40	0.040024	79.188	0.078488	liquid	liquid, P = 15 bar
372.27	15.000	0.66400	1.5060	39.606	41.865	145.18	116.73	150.04	180.43	1.9093	9.5820	0.027090	vapor	vapor, P = 15 bar
375.00	15.000	0.65043	1.5375	39.966	42.272	146.27	117.09	148.47	183.37	1.8257	9.6468	0.027347	vapor	vapor, P = 15 bar
380.00	15.000	0.62796	1.5925	40.620	43.009	148.22	117.83	146.31	188.38	1.6901	9.7670	0.027852	vapor	vapor, P = 15 bar
385.00	15.000	0.60804	1.6446	41.269	43.736	150.12	118.62	144.82	192.96	1.5732	9.8883	0.028391	vapor	vapor, P = 15 bar
390.00	15.000	0.59015	1.6945	41.916	44.458	151.98	119.45	143.79	197.21	1.4710	10.010	0.028956	vapor	vapor, P = 15 bar
395.00	15.000	0.57391	1.7424	42.561	45.175	153.81	120.32	143.12	201.18	1.3808	10.132	0.029544	vapor	vapor, P = 15 bar
400.00	15.000	0.55906	1.7887	43.206	45.889	155.61	121.21	142.73	204.92	1.3005	10.255	0.030150	vapor	vapor, P = 15 bar
405.00	15.000	0.54537	1.8336	43.852	46.602	157.38	122.13	142.55	208.45	1.2284	10.377	0.030772	vapor	vapor, P = 15 bar
410.00	15.000	0.53268	1.8773	44.499	47.315	159.13	123.08	142.56	211.81	1.1632	10.499	0.031410	vapor	vapor, P = 15 bar
415.00	15.000	0.52086	1.9199	45.148	48.028	160.86	124.06	142.71	215.02	1.1040	10.621	0.032061	vapor	vapor, P = 15 bar
420.00	15.000	0.50980	1.9616	45.800	48.743	162.57	125.05	142.99	218.10	1.0499	10.742	0.032724	vapor	vapor, P = 15 bar
425.00	15.000	0.49941	2.0024	46.455	49.458	164.26	126.06	143.36	221.05	1.0003	10.864	0.033400	vapor	vapor, P = 15 bar
430.00	15.000	0.48961	2.0424	47.113	50.176	165.94	127.08	143.82	223.90	0.95449	10.984	0.034087	vapor	vapor, P = 15 bar
435.00	15.000	0.48035	2.0818	47.774	50.897	167.61	128.12	144.35	226.65	0.91217	11.105	0.034784	vapor	vapor, P = 15 bar
440.00	15.000	0.47157	2.1206	48.439	51.620	169.26	129.16	144.94	229.31	0.87290	11.225	0.035492	vapor	vapor, P = 15 bar
445.00	15.000	0.46322	2.1588	49.108	52.346	170.90	130.22	145.58	231.89	0.83638	11.344	0.036210	vapor	vapor, P = 15 bar
450.00	15.000	0.45527	2.1965	49.781	53.076	172.53	131.27	146.26	234.40	0.80231	11.464	0.036938	vapor	vapor, P = 15 bar
455.00	15.000	0.44769	2.2337	50.458	53.809	174.15	132.33	146.98	236.84	0.77046	11.583	0.037675	vapor	vapor, P = 15 bar
460.00	15.000	0.44044	2.2705	51.140	54.546	175.76	133.39	147.73	239.22	0.74062	11.701	0.038421	vapor	vapor, P = 15 bar
465.00	15.000	0.43349	2.3068	51.826	55.286	177.36	134.45	148.50	241.54	0.71261	11.820	0.039177	vapor	vapor, P = 15 bar
470.00	15.000	0.42683	2.3428	52.516	56.031	178.96	135.51	149.30	243.80	0.68627	11.938	0.039942	vapor	vapor, P = 15 bar
475.00	15.000	0.42043	2.3785	53.212	56.779	180.54	136.57	150.11	246.01	0.66146	12.055	0.040715	vapor	vapor, P = 15 bar
480.00	15.000	0.41428	2.4138	53.911	57.532	182.12	137.63	150.94	248.18	0.63804	12.173	0.041498	vapor	vapor, P = 15 bar
485.00	15.000	0.40835	2.4489	54.615	58.289	183.69	138.69	151.79	250.30	0.61592	12.290	0.042289	vapor	vapor, P = 15 bar
490.00	15.000	0.40264	2.4836	55.324	59.050	185.25	139.74	152.64	252.38	0.59499	12.406	0.043089	vapor	vapor, P = 15 bar
495.00	15.000	0.39713	2.5181	56.038	59.815	186.80	140.79	153.51	254.42	0.57516	12.523	0.043897	vapor	vapor, P = 15 bar
500.00	15.000	0.39180	2.5523	56.756	60.585	188.35	141.84	154.39	256.43	0.55634	12.639	0.044714	vapor	vapor, P = 15 bar
505.00	15.000	0.38665	2.5863	57.480	61.359	189.89	142.88	155.27	258.40	0.53847	12.755	0.045539	vapor	vapor, P = 15 bar
510.00	15.000	0.38167	2.6201	58.207	62.138	191.42	143.92	156.15	260.33	0.52147	12.870	0.046373	vapor	vapor, P = 15 bar
515.00	15.000	0.37684	2.6537	58.940	62.921	192.95	144.96	157.05	262.24	0.50530	12.986	0.047215	vapor	vapor, P = 15 bar
520.00	15.000	0.37216	2.6870	59.677	63.708	194.47	145.99	157.94	264.11	0.48988	13.101	0.048065	vapor	vapor, P = 15 bar
525.00	15.000	0.36762	2.7202	60.420	64.500	195.99	147.01	158.84	265.96	0.47518	13.215	0.048924	vapor	vapor, P = 15 bar
530.00	15.000	0.36321	2.7532	61.167	65.296	197.50	148.03	159.74	267.78	0.46114	13.330	0.049790	vapor	vapor, P = 15 bar
535.00	15.000	0.35893	2.7861	61.918	66.097	199.00	149.04	160.64	269.57	0.44773	13.444	0.050665	vapor	vapor, P = 15 bar
540.00	15.000	0.35477	2.8187	62.675	66.903	200.50	150.05	161.54	271.34	0.43490	13.558	0.051549	vapor	vapor, P = 15 bar
545.00	15.000	0.35072	2.8513	63.436	67.713	201.99	151.05	162.44	273.09	0.42262	13.672	0.052440	vapor	vapor, P = 15 bar
550.00	15.000	0.34678	2.8837	64.202	68.527	203.48	152.05	163.34	274.81	0.41086	13.786	0.053340	vapor	vapor, P = 15 bar
555.00	15.000	0.34295	2.9159	64.972	69.346	204.96	153.04	164.24	276.51	0.39959	13.899	0.054247	vapor	vapor, P = 15 bar
560.00	15.000	0.33921	2.9480	65.747	70.170	206.44	154.02	165.13	278.19	0.38877	14.012	0.055163	vapor	vapor, P = 15 bar
565.00	15.000	0.33557	2.9800	66.527	70.997	207.91	155.00	166.03	279.85	0.37838	14.125	0.056087	vapor	vapor, P = 15 bar
570.00	15.000	0.33202	3.0119	67.312	71.830	209.38	155.97	166.92	281.49	0.36841	14.238	0.057019	vapor	vapor, P = 15 bar
575.00	15.000	0.32855	3.0436	68.101	72.667	210.84	156.94	167.81	283.12	0.35882	14.351	0.057959	vapor	vapor, P = 15 bar
														
280.00	27.500	10.270	0.097375	12.410	12.678	61.003	96.698	135.43	1023.7	-0.036000	195.30	0.11412	liquid	liquid, P = 27.5 bar
285.00	27.500	10.177	0.098257	13.088	13.359	63.412	97.646	136.81	997.59	-0.034475	186.29	0.11201	liquid	liquid, P = 27.5 bar
290.00	27.500	10.084	0.099168	13.774	14.046	65.804	98.617	138.24	971.48	-0.032859	177.80	0.10992	liquid	liquid, P = 27.5 bar
295.00	27.500	9.9890	0.10011	14.466	14.741	68.180	99.609	139.73	945.41	-0.031142	169.79	0.10787	liquid	liquid, P = 27.5 bar
300.00	27.500	9.8924	0.10109	15.166	15.444	70.541	100.62	141.27	919.37	-0.029314	162.22	0.10584	liquid	liquid, P = 27.5 bar
305.00	27.500	9.7942	0.10210	15.873	16.154	72.889	101.65	142.87	893.33	-0.027360	155.04	0.10385	liquid	liquid, P = 27.5 bar
310.00	27.500	9.6942	0.10315	16.589	16.872	75.226	102.70	144.53	867.29	-0.025267	148.21	0.10190	liquid	liquid, P = 27.5 bar
315.00	27.500	9.5922	0.10425	17.313	17.599	77.552	103.77	146.25	841.22	-0.023016	141.71	0.099970	liquid	liquid, P = 27.5 bar
