Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
460.00	40.000	1.6076	0.62203	48.527	51.015	161.59	138.84	190.18	184.52	0.99540	14.040	0.044792	supercritical	liquid, P = 40 bar
470.00	40.000	1.4854	0.67323	50.176	52.869	165.57	140.08	181.49	195.71	0.87748	13.997	0.045421	supercritical	liquid, P = 40 bar
480.00	40.000	1.3905	0.71914	51.781	54.657	169.34	141.54	176.63	205.38	0.78502	14.034	0.046365	supercritical	liquid, P = 40 bar
490.00	40.000	1.3134	0.76136	53.363	56.408	172.95	143.13	173.85	213.96	0.70992	14.119	0.047509	supercritical	liquid, P = 40 bar
500.00	40.000	1.2487	0.80084	54.935	58.138	176.44	144.82	172.31	221.71	0.64735	14.234	0.048793	supercritical	liquid, P = 40 bar
510.00	40.000	1.1931	0.83818	56.505	59.857	179.85	146.56	171.59	228.80	0.59423	14.371	0.050186	supercritical	liquid, P = 40 bar
520.00	40.000	1.1444	0.87381	58.077	61.572	183.18	148.34	171.43	235.37	0.54845	14.523	0.051665	supercritical	liquid, P = 40 bar
530.00	40.000	1.1013	0.90804	59.655	63.287	186.44	150.15	171.66	241.49	0.50852	14.685	0.053217	supercritical	liquid, P = 40 bar
540.00	40.000	1.0626	0.94109	61.242	65.006	189.66	151.96	172.18	247.24	0.47334	14.856	0.054833	supercritical	liquid, P = 40 bar
550.00	40.000	1.0276	0.97313	62.839	66.732	192.82	153.79	172.92	252.67	0.44210	15.033	0.056506	supercritical	liquid, P = 40 bar
560.00	40.000	0.99571	1.0043	64.448	68.465	195.95	155.61	173.82	257.82	0.41414	15.215	0.058231	supercritical	liquid, P = 40 bar
570.00	40.000	0.96642	1.0347	66.070	70.209	199.03	157.43	174.84	262.74	0.38897	15.401	0.060004	supercritical	liquid, P = 40 bar
