Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
480.00	12.500	0.33913	2.9487	54.083	57.769	184.00	137.31	149.56	252.04	0.62517	12.079	0.041160	vapor	vapor, P = 12.5 bar
485.00	12.500	0.33456	2.9890	54.783	58.519	185.55	138.38	150.47	254.01	0.60419	12.197	0.041954	vapor	vapor, P = 12.5 bar
490.00	12.500	0.33013	3.0291	55.487	59.274	187.10	139.45	151.40	255.94	0.58429	12.314	0.042756	vapor	vapor, P = 12.5 bar
495.00	12.500	0.32585	3.0689	56.197	60.033	188.64	140.52	152.33	257.84	0.56539	12.431	0.043567	vapor	vapor, P = 12.5 bar
500.00	12.500	0.32170	3.1085	56.911	60.797	190.18	141.58	153.26	259.71	0.54741	12.548	0.044386	vapor	vapor, P = 12.5 bar
505.00	12.500	0.31768	3.1479	57.631	61.566	191.71	142.63	154.19	261.55	0.53030	12.664	0.045213	vapor	vapor, P = 12.5 bar
510.00	12.500	0.31377	3.1870	58.355	62.339	193.23	143.68	155.13	263.37	0.51399	12.780	0.046048	vapor	vapor, P = 12.5 bar
515.00	12.500	0.30998	3.2260	59.085	63.117	194.75	144.73	156.06	265.16	0.49844	12.896	0.046892	vapor	vapor, P = 12.5 bar
520.00	12.500	0.30630	3.2648	59.819	63.900	196.26	145.77	157.00	266.93	0.48359	13.012	0.047743	vapor	vapor, P = 12.5 bar
525.00	12.500	0.30272	3.3034	60.558	64.687	197.77	146.80	157.94	268.67	0.46940	13.127	0.048603	vapor	vapor, P = 12.5 bar
530.00	12.500	0.29924	3.3418	61.302	65.479	199.27	147.83	158.87	270.39	0.45584	13.242	0.049470	vapor	vapor, P = 12.5 bar
535.00	12.500	0.29585	3.3801	62.051	66.276	200.77	148.85	159.81	272.09	0.44286	13.357	0.050346	vapor	vapor, P = 12.5 bar
540.00	12.500	0.29255	3.4182	62.804	67.077	202.26	149.87	160.74	273.77	0.43042	13.472	0.051230	vapor	vapor, P = 12.5 bar
545.00	12.500	0.28933	3.4562	63.563	67.883	203.74	150.88	161.67	275.42	0.41851	13.586	0.052122	vapor	vapor, P = 12.5 bar
550.00	12.500	0.28620	3.4941	64.326	68.694	205.22	151.88	162.60	277.06	0.40707	13.700	0.053021	vapor	vapor, P = 12.5 bar
555.00	12.500	0.28314	3.5318	65.094	69.509	206.70	152.88	163.52	278.68	0.39610	13.814	0.053929	vapor	vapor, P = 12.5 bar
560.00	12.500	0.28016	3.5694	65.867	70.329	208.17	153.87	164.45	280.29	0.38557	13.928	0.054845	vapor	vapor, P = 12.5 bar
565.00	12.500	0.27725	3.6068	66.645	71.154	209.64	154.85	165.37	281.87	0.37544	14.041	0.055769	vapor	vapor, P = 12.5 bar
570.00	12.500	0.27441	3.6442	67.427	71.983	211.10	155.83	166.28	283.44	0.36570	14.154	0.056701	vapor	vapor, P = 12.5 bar
575.00	12.500	0.27163	3.6815	68.215	72.816	212.55	156.80	167.19	285.00	0.35633	14.268	0.057641	vapor	vapor, P = 12.5 bar
														
280.00	25.000	10.264	0.097429	12.422	12.666	61.047	96.686	135.50	1021.4	-0.035863	194.74	0.11395	liquid	liquid, P = 25 bar
285.00	25.000	10.171	0.098315	13.101	13.347	63.457	97.634	136.89	995.13	-0.034323	185.74	0.11183	liquid	liquid, P = 25 bar
290.00	25.000	10.077	0.099231	13.787	14.035	65.850	98.605	138.34	968.92	-0.032689	177.26	0.10974	liquid	liquid, P = 25 bar
295.00	25.000	9.9822	0.10018	14.480	14.730	68.228	99.598	139.83	942.75	-0.030953	169.27	0.10769	liquid	liquid, P = 25 bar
300.00	25.000	9.8853	0.10116	15.180	15.433	70.591	100.61	141.38	916.60	-0.029101	161.70	0.10566	liquid	liquid, P = 25 bar
305.00	25.000	9.7866	0.10218	15.889	16.144	72.941	101.64	142.99	890.44	-0.027121	154.52	0.10366	liquid	liquid, P = 25 bar
310.00	25.000	9.6861	0.10324	16.605	16.863	75.280	102.69	144.66	864.28	-0.024998	147.70	0.10170	liquid	liquid, P = 25 bar
315.00	25.000	9.5836	0.10435	17.330	17.591	77.608	103.76	146.40	838.07	-0.022711	141.20	0.099766	liquid	liquid, P = 25 bar
320.00	25.000	9.4788	0.10550	18.064	18.328	79.928	104.84	148.21	811.80	-0.020239	135.00	0.097868	liquid	liquid, P = 25 bar
325.00	25.000	9.3715	0.10671	18.807	19.073	82.240	105.94	150.10	785.45	-0.017555	129.06	0.096003	liquid	liquid, P = 25 bar
330.00	25.000	9.2615	0.10797	19.559	19.829	84.547	107.06	152.09	758.96	-0.014624	123.37	0.094170	liquid	liquid, P = 25 bar
335.00	25.000	9.1486	0.10931	20.321	20.594	86.849	108.19	154.17	732.32	-0.011406	117.89	0.092370	liquid	liquid, P = 25 bar
340.00	25.000	9.0322	0.11071	21.094	21.371	89.150	109.34	156.37	705.47	-0.0078512	112.61	0.090602	liquid	liquid, P = 25 bar
345.00	25.000	8.9122	0.11221	21.878	22.158	91.449	110.51	158.70	678.35	-0.0038943	107.51	0.088864	liquid	liquid, P = 25 bar
350.00	25.000	8.7880	0.11379	22.673	22.958	93.751	111.69	161.20	650.90	0.00054630	102.57	0.087155	liquid	liquid, P = 25 bar
355.00	25.000	8.6590	0.11549	23.482	23.771	96.056	112.90	163.88	623.04	0.0055775	97.762	0.085472	liquid	liquid, P = 25 bar
360.00	25.000	8.5245	0.11731	24.304	24.597	98.368	114.13	166.80	594.67	0.011341	93.078	0.083815	liquid	liquid, P = 25 bar
365.00	25.000	8.3837	0.11928	25.141	25.439	100.69	115.38	170.02	565.65	0.018032	88.495	0.082178	liquid	liquid, P = 25 bar
370.00	25.000	8.2353	0.12143	25.994	26.298	103.03	116.68	173.62	535.84	0.025921	83.992	0.080557	liquid	liquid, P = 25 bar
375.00	25.000	8.0780	0.12379	26.867	27.176	105.38	118.01	177.73	505.02	0.035405	79.544	0.078947	liquid	liquid, P = 25 bar
380.00	25.000	7.9096	0.12643	27.760	28.076	107.77	119.41	182.55	472.89	0.047087	75.121	0.077339	liquid	liquid, P = 25 bar
385.00	25.000	7.7272	0.12941	28.680	29.003	110.19	120.88	188.41	439.05	0.061943	70.685	0.075722	liquid	liquid, P = 25 bar
390.00	25.000	7.5260	0.13287	29.631	29.963	112.67	122.47	195.93	402.88	0.081668	66.181	0.074079	liquid	liquid, P = 25 bar
395.00	25.000	7.2984	0.13702	30.625	30.967	115.23	124.23	206.37	363.37	0.10956	61.518	0.072385	liquid	liquid, P = 25 bar
400.00	25.000	7.0293	0.14226	31.681	32.037	117.92	126.28	222.90	318.65	0.15318	56.527	0.070601	liquid	liquid, P = 25 bar
400.11	25.000	7.0230	0.14239	31.704	32.060	117.98	126.33	223.37	317.62	0.15438	56.416	0.070562	liquid	liquid, P = 25 bar
400.11	25.000	1.2606	0.79327	41.333	43.317	146.11	128.48	211.03	154.64	1.9726	11.379	0.035184	vapor	vapor, P = 25 bar
405.00	25.000	1.1789	0.84822	42.174	44.294	148.54	128.13	190.75	164.07	1.7398	11.360	0.034854	vapor	vapor, P = 25 bar
410.00	25.000	1.1157	0.89632	42.976	45.217	150.80	128.15	179.41	171.96	1.5676	11.385	0.034904	vapor	vapor, P = 25 bar
415.00	25.000	1.0646	0.93935	43.747	46.095	152.93	128.43	172.36	178.76	1.4332	11.435	0.035151	vapor	vapor, P = 25 bar
420.00	25.000	1.0216	0.97885	44.497	46.945	154.97	128.88	167.65	184.79	1.3235	11.501	0.035517	vapor	vapor, P = 25 bar
425.00	25.000	0.98453	1.0157	45.235	47.774	156.93	129.47	164.37	190.24	1.2310	11.581	0.035961	vapor	vapor, P = 25 bar
430.00	25.000	0.95191	1.0505	45.964	48.590	158.84	130.15	162.04	195.23	1.1514	11.662	0.036464	vapor	vapor, P = 25 bar
435.00	25.000	0.92281	1.0836	46.687	49.396	160.70	130.90	160.37	199.86	1.0818	11.752	0.037011	vapor	vapor, P = 25 bar
440.00	25.000	0.89655	1.1154	47.406	50.194	162.53	131.70	159.18	204.19	1.0202	11.846	0.037593	vapor	vapor, P = 25 bar
445.00	25.000	0.87263	1.1460	48.123	50.988	164.32	132.54	158.36	208.26	0.96500	11.943	0.038204	vapor	vapor, P = 25 bar
450.00	25.000	0.85068	1.1755	48.840	51.778	166.09	133.42	157.82	212.10	0.91529	12.042	0.038841	vapor	vapor, P = 25 bar
455.00	25.000	0.83041	1.2042	49.556	52.567	167.83	134.32	157.50	215.76	0.87016	12.144	0.039499	vapor	vapor, P = 25 bar
460.00	25.000	0.81159	1.2322	50.273	53.354	169.55	135.24	157.36	219.24	0.82897	12.247	0.040177	vapor	vapor, P = 25 bar
465.00	25.000	0.79403	1.2594	50.992	54.141	171.25	136.18	157.37	222.58	0.79119	12.351	0.040873	vapor	vapor, P = 25 bar
470.00	25.000	0.77758	1.2860	51.713	54.928	172.94	137.12	157.49	225.78	0.75639	12.457	0.041585	vapor	vapor, P = 25 bar
475.00	25.000	0.76212	1.3121	52.435	55.716	174.60	138.08	157.71	228.86	0.72420	12.563	0.042311	vapor	vapor, P = 25 bar
480.00	25.000	0.74754	1.3377	53.161	56.505	176.26	139.05	158.02	231.83	0.69434	12.669	0.043052	vapor	vapor, P = 25 bar
